f	z'	z''
25.05936	512.2814201732875	-8.91016793481237
19.90536	513.4397068098634	-9.640312268602116
15.81139	514.6609215502807	-10.425302383033305
12.55943	516.0214736265788	-11.291640239861717
9.976311	517.5222467092091	-12.23702111296789
7.924466	519.2022039323551	-13.28347462907593
6.294627	521.0282976861445	-14.394570239057375
5.0	522.9866425895794	-15.645085053682392
3.971641	525.2751574893244	-16.951121827984146
3.154787	527.5503045098819	-18.273744347649828
2.505936	530.18437039015	-19.623391951105855
1.990536	533.098333717343	-20.98239287978291
1.581139	536.2107750377132	-22.56122722946002
1.255943	539.6897164443225	-23.728523191337715
0.9976312	543.1114299669766	-24.757129092486586
0.7924466	547.1275150058635	-25.640680608849753
0.6294627	550.5761752691332	-26.73510365002058
0.5	555.1110847287947	-27.68055318084048
0.3971641	558.9072673924908	-28.548329780333702
0.3154787	563.2451760356864	-28.923110503494645
0.2505936	567.4015561310152	-29.920505241609337
0.1990536	571.361407821359	-29.496912820000436
0.1581139	575.7757424159233	-30.55855371040318
0.1255943	580.2215100780284	-30.695767820671563
0.1	583.7059054830187	-32.21119015334876
